product_id,product_name,category,revenue,profit,units_sold,orders
PROD0036,Fiction Product 36,Books,26515917.52,9967406.88,808,250
PROD0037,Fragrances Product 37,Beauty,343572.82,26552.14,711,232
PROD0038,Skincare Product 38,Beauty,22283499.3,2892113.88,738,257
PROD0039,Haircare Product 39,Beauty,24744658.36,10792577.38,753,238
PROD0040,Storage Product 40,Home & Kitchen,11851142.47,4891558.93,774,268
PROD0041,Team Sports Product 41,Sports,26145388.16,4697736.56,710,236
PROD0042,Team Sports Product 42,Sports,9616847.78,4242997.28,675,219
PROD0043,Self Help Product 43,Books,9548499.59,2922340.34,725,247
PROD0044,Fragrances Product 44,Beauty,23878270.0,3875589.6,776,260
PROD0045,Men Clothing Product 45,Fashion,26407606.55,6468417.55,703,245
PROD0046,Sportswear Product 46,Sports,4279146.47,592509.23,803,264
PROD0047,Footwear Product 47,Fashion,22415377.54,4498086.44,697,225
PROD0048,Personal Care Product 48,Beauty,23140506.83,5736845.87,696,220
PROD0049,Non Fiction Product 49,Books,16650105.59,4426275.79,749,259
PROD0050,Footwear Product 50,Fashion,989478.33,416647.62,743,247
PROD0051,Fragrances Product 51,Beauty,1129619.15,195532.11000000002,712,241
PROD0052,Technology Product 52,Books,9285623.93,2085460.81,692,224
PROD0053,Fragrances Product 53,Beauty,27393015.990000002,9546279.94,715,237
PROD0054,Smart Watches Product 54,Electronics,13248356.73,1525667.79,753,254
PROD0055,Smart Watches Product 55,Electronics,7772715.73,3350893.13,788,257
PROD0056,Jewellery Product 56,Accessories,9386364.99,3781944.87,741,244
PROD0057,Headphones Product 57,Electronics,33740081.2,3173520.2,850,277
PROD0058,Team Sports Product 58,Sports,19829872.54,1176204.64,735,263
PROD0059,Storage Product 59,Home & Kitchen,27510577.88,10662930.56,798,264
PROD0060,Sportswear Product 60,Sports,25993564.56,5597460.58,686,235
PROD0061,Storage Product 61,Home & Kitchen,24734939.39,1463283.47,712,240
PROD0062,Outdoor Product 62,Sports,10989089.77,4544656.87,810,262
PROD0063,Non Fiction Product 63,Books,7665195.47,2055721.67,777,258
PROD0064,Footwear Product 64,Fashion,23833135.09,1712395.09,680,238
PROD0065,Accessories Product 65,Fashion,438456.5,100990.86,799,257
PROD0066,Fitness Equipment Product 66,Sports,13201945.81,4889630.52,733,250
PROD0067,Cameras Product 67,Electronics,4033837.54,1247961.13,761,247
PROD0068,Footwear Product 68,Fashion,32142262.080000002,10449856.54,794,258
PROD0069,Bags Product 69,Accessories,15632857.82,2033994.2,713,239
PROD0070,Ethnic Wear Product 70,Fashion,12027668.82,131797.3,772,252
PROD0071,Footwear Product 71,Fashion,33066841.12,11462975.97,815,259
PROD0072,Home Decor Product 72,Home & Kitchen,17032022.27,5547618.57,805,255
PROD0073,Footwear Product 73,Fashion,9594247.19,4333458.11,783,255
PROD0074,Skincare Product 74,Beauty,21257649.12,5003124.96,816,279
PROD0075,Headphones Product 75,Electronics,1800762.88,617936.84,737,246
PROD0076,Cookware Product 76,Home & Kitchen,30643464.71,11173329.51,785,253
PROD0077,Women Clothing Product 77,Fashion,4205892.71,999045.55,662,235
PROD0078,Cameras Product 78,Electronics,30779132.56,11023954.27,733,242
PROD0079,Cameras Product 79,Electronics,22015523.4,2531922.74,766,265
PROD0080,Kitchen Appliances Product 80,Home & Kitchen,7001253.19,923539.85,677,243
PROD0081,Skincare Product 81,Beauty,11332522.82,1877466.54,724,240
PROD0082,Travel Accessories Product 82,Accessories,20044840.669999998,4630131.47,730,244
PROD0083,Smart Watches Product 83,Electronics,3120092.19,285897.69,755,245
PROD0084,Bags Product 84,Accessories,10612701.03,4085553.75,766,246
PROD0085,Fragrances Product 85,Beauty,1468499.42,285255.8,741,249
PROD0086,Fragrances Product 86,Beauty,20281685.94,9452802.26,698,237
PROD0087,Technology Product 87,Books,16258164.02,5817444.0200000005,750,245
PROD0088,Men Clothing Product 88,Fashion,20516230.6,7916822.24,749,267
PROD0089,Men Clothing Product 89,Fashion,21556922.15,6203232.94,733,243
PROD0090,Jewellery Product 90,Accessories,29883019.54,12420160.96,738,249
PROD0091,Sunglasses Product 91,Accessories,10782565.040000001,4424370.8,744,238
PROD0092,Furniture Product 92,Home & Kitchen,28869624.76,1638536.26,735,244
PROD0093,Sportswear Product 93,Sports,9446971.21,1531535.11,845,285
PROD0094,Ethnic Wear Product 94,Fashion,26258622.78,5442031.18,757,259
PROD0095,Furniture Product 95,Home & Kitchen,17739590.77,6356618.91,782,265
PROD0096,Home Decor Product 96,Home & Kitchen,2773329.42,126924.22,664,241
PROD0097,Laptops Product 97,Electronics,27741819.8,4645977.14,729,240
PROD0098,Furniture Product 98,Home & Kitchen,10576269.28,3254493.48,724,245
PROD0099,Women Clothing Product 99,Fashion,21793075.2,1136198.7,702,230
PROD0100,Bags Product 100,Accessories,30036163.31,3080348.11,797,244
PROD0101,Smartphones Product 101,Electronics,19919959.59,8470085.49,735,244
PROD0102,Footwear Product 102,Fashion,5809816.1,332981.66,812,265
PROD0103,Storage Product 103,Home & Kitchen,17681708.41,8111537.8,693,241
PROD0104,Makeup Product 104,Beauty,3685217.08,554597.77,819,274
PROD0105,Travel Accessories Product 105,Accessories,376378.99,147449.23,807,257
PROD0106,Headphones Product 106,Electronics,18872530.580000002,2621534.16,811,265
PROD0107,Team Sports Product 107,Sports,21051888.09,7726304.19,755,242
PROD0108,Technology Product 108,Books,20887824.54,7428175.42,692,232
PROD0109,Cookware Product 109,Home & Kitchen,9842070.39,1160940.79,704,233
PROD0110,Jewellery Product 110,Accessories,22028975.54,1699573.74,790,257
PROD0111,Skincare Product 111,Beauty,20073672.91,3966244.51,721,252
PROD0112,Men Clothing Product 112,Fashion,3376277.53,1023920.23,795,261
PROD0113,Self Help Product 113,Books,8208582.59,2878850.79,722,241
PROD0114,Headphones Product 114,Electronics,30251550.68,8681934.08,730,242
PROD0115,Personal Care Product 115,Beauty,28367143.54,4883072.44,749,250
PROD0116,Non Fiction Product 116,Books,23668330.740000002,5528978.74,700,229
PROD0117,Cookware Product 117,Home & Kitchen,19209674.48,4719658.07,773,254
PROD0118,Women Clothing Product 118,Fashion,6137296.39,733415.44,731,244
PROD0119,Smartphones Product 119,Electronics,8704015.53,3985769.13,720,247
PROD0120,Furniture Product 120,Home & Kitchen,21232841.6,8280583.04,768,254
PROD0121,Home Decor Product 121,Home & Kitchen,28878811.36,635774.2,722,247
PROD0122,Storage Product 122,Home & Kitchen,28311639.55,8411744.81,727,238
PROD0123,Wallets Product 123,Accessories,670481.42,27398.53,733,232
PROD0124,Jewellery Product 124,Accessories,14722603.41,350194.57,796,265
PROD0125,Jewellery Product 125,Accessories,33399885.23,2095467.21,821,275
PROD0126,Team Sports Product 126,Sports,9126085.22,2595033.26,724,248
PROD0127,Sportswear Product 127,Sports,26785260.82,8627136.63,739,238
PROD0128,Personal Care Product 128,Beauty,5217349.79,1074068.77,706,243
PROD0129,Haircare Product 129,Beauty,32111539.84,4312492.94,815,272
PROD0130,Makeup Product 130,Beauty,15401174.39,6498853.43,636,219
PROD0131,Academic Product 131,Books,22405836.43,209633.43,850,282
PROD0132,Academic Product 132,Books,4312790.88,1004644.5,693,235
PROD0133,Team Sports Product 133,Sports,26062708.21,3355204.93,693,232
PROD0134,Smartphones Product 134,Electronics,23036700.18,3445871.13,767,243
PROD0135,Self Help Product 135,Books,12565004.98,4225460.84,809,269
PROD0136,Women Clothing Product 136,Fashion,27148675.55,2430392.11,788,261
PROD0137,Jewellery Product 137,Accessories,27119195.43,1151339.73,734,243
PROD0138,Jewellery Product 138,Accessories,16758917.05,3893923.86,769,257
PROD0139,Wallets Product 139,Accessories,24702318.35,3955178.69,731,252
PROD0140,Sportswear Product 140,Sports,25102589.09,2365859.7399999998,841,275
PROD0141,Fiction Product 141,Books,24209176.24,7530277.04,640,221
PROD0142,Skincare Product 142,Beauty,12599236.33,5395114.44,779,258
PROD0143,Furniture Product 143,Home & Kitchen,18020804.37,8149235.37,732,247
PROD0144,Travel Accessories Product 144,Accessories,14232667.18,3052941.48,715,251
PROD0145,Furniture Product 145,Home & Kitchen,9331023.79,1816053.67,753,255
PROD0146,Team Sports Product 146,Sports,1157138.58,523099.32,751,263
PROD0147,Wallets Product 147,Accessories,26956084.39,8337466.0,761,249
PROD0148,Bags Product 148,Accessories,4353272.19,1005905.79,768,253
PROD0149,Cameras Product 149,Electronics,27042815.69,9873867.29,830,275
PROD0150,Wallets Product 150,Accessories,19509780.94,8447521.39,731,228
PROD0151,Storage Product 151,Home & Kitchen,1830699.04,418590.39,743,241
PROD0152,Furniture Product 152,Home & Kitchen,16934249.53,2760444.93,740,240
PROD0153,Academic Product 153,Books,25540580.56,-22008.800000000014,836,266
PROD0154,Smart Watches Product 154,Electronics,16197044.32,5100727.24,738,249
PROD0155,Yoga Product 155,Sports,24224953.26,8394893.5,712,236
PROD0156,Sportswear Product 156,Sports,15486902.86,6660805.14,829,281
PROD0157,Cameras Product 157,Electronics,1074838.55,32734.55,800,267
PROD0158,Sportswear Product 158,Sports,28893678.1,4172938.3,811,266
PROD0159,Yoga Product 159,Sports,13125930.82,4953506.49,763,251
PROD0160,Men Clothing Product 160,Fashion,5040849.47,1811522.74,727,247
PROD0161,Laptops Product 161,Electronics,20275475.96,2872702.62,857,284
PROD0162,Laptops Product 162,Electronics,23506405.1,7931542.58,837,275
PROD0163,Sportswear Product 163,Sports,33244463.51,3956856.31,823,265
PROD0164,Technology Product 164,Books,17551116.7,3175522.98,743,242
PROD0165,Team Sports Product 165,Sports,13439424.09,4785824.44,745,258
PROD0166,Accessories Product 166,Fashion,11234104.88,1315248.68,732,249
PROD0167,Travel Accessories Product 167,Accessories,727596.9,304194.9,840,270
PROD0168,Bags Product 168,Accessories,1843716.93,835517.65,836,276
PROD0169,Headphones Product 169,Electronics,26816761.35,3609671.34,741,258
PROD0170,Headphones Product 170,Electronics,13955423.51,5947141.83,686,218
PROD0171,Outdoor Product 171,Sports,17007860.61,4198358.61,810,273
PROD0172,Storage Product 172,Home & Kitchen,4934124.09,1290319.61,656,218
PROD0173,Skincare Product 173,Beauty,13426981.93,2506669.93,780,251
PROD0174,Personal Care Product 174,Beauty,21115097.65,9495299.95,779,261
PROD0175,Bags Product 175,Accessories,12355887.43,2100944.71,774,262
PROD0176,Self Help Product 176,Books,15422156.42,1020993.48,718,225
PROD0177,Fitness Equipment Product 177,Sports,25444490.5,9990484.86,908,280
PROD0178,Men Clothing Product 178,Fashion,2413695.02,411129.74,744,247
PROD0179,Kitchen Appliances Product 179,Home & Kitchen,1056396.45,220649.2,755,257
PROD0180,Headphones Product 180,Electronics,27001482.65,5376959.21,676,229
PROD0181,Academic Product 181,Books,12571630.76,2025875.4,761,249
PROD0182,Jewellery Product 182,Accessories,14978785.07,3059194.64,773,274
PROD0183,Fitness Equipment Product 183,Sports,30490351.24,8801080.42,762,254
PROD0184,Laptops Product 184,Electronics,28610037.42,1554950.13,693,232
PROD0185,Headphones Product 185,Electronics,6204463.41,2758893.18,719,244
PROD0186,Women Clothing Product 186,Fashion,3245667.91,1514796.24,713,234
PROD0187,Skincare Product 187,Beauty,3537072.71,496156.03,842,271
PROD0188,Storage Product 188,Home & Kitchen,2180681.94,684314.94,675,222
PROD0189,Furniture Product 189,Home & Kitchen,27101738.74,12397536.07,757,247
PROD0190,Men Clothing Product 190,Fashion,27370918.46,9173075.16,793,264
PROD0191,Fiction Product 191,Books,3812994.09,538391.85,728,244
PROD0192,Headphones Product 192,Electronics,21257463.04,1262588.77,791,269
PROD0193,Cookware Product 193,Home & Kitchen,25315341.6,2158974.8,815,265
PROD0194,Cookware Product 194,Home & Kitchen,9083926.39,3519609.37,746,245
PROD0195,Technology Product 195,Books,22961948.89,2446238.41,706,241
PROD0196,Accessories Product 196,Fashion,33824727.41,8876251.13,819,258
PROD0197,Smart Watches Product 197,Electronics,11819972.84,1302172.2,736,238
PROD0198,Fitness Equipment Product 198,Sports,10249161.86,298445.24,702,239
PROD0199,Yoga Product 199,Sports,31971857.45,8844660.63,866,272
PROD0200,Travel Accessories Product 200,Accessories,23412871.39,2653824.67,734,239
PROD0201,Bags Product 201,Accessories,3113231.19,174031.19,668,235
PROD0202,Fitness Equipment Product 202,Sports,16736219.13,1304254.59,778,256
PROD0203,Ethnic Wear Product 203,Fashion,10566942.61,402723.89,776,252
PROD0204,Kitchen Appliances Product 204,Home & Kitchen,10810701.1,5036452.55,647,221
PROD0205,Fragrances Product 205,Beauty,28425074.68,12183149.75,737,247
PROD0206,Cookware Product 206,Home & Kitchen,9990728.25,166256.13,732,234
PROD0207,Men Clothing Product 207,Fashion,28940275.65,5845053.5,715,248
PROD0208,Sunglasses Product 208,Accessories,19758147.65,5072931.01,736,250
PROD0209,Outdoor Product 209,Sports,9340426.42,2984219.92,735,256
PROD0210,Sportswear Product 210,Sports,18991429.08,2099547.36,667,229
PROD0211,Jewellery Product 211,Accessories,25250829.88,2602777.16,746,241
PROD0212,Cameras Product 212,Electronics,3051469.93,712896.79,747,250
PROD0213,Smartphones Product 213,Electronics,2005824.55,426505.25,746,250
PROD0214,Personal Care Product 214,Beauty,16166545.26,693782.7000000001,864,282
PROD0215,Smartphones Product 215,Electronics,10313250.64,4302136.74,682,222
PROD0216,Bags Product 216,Accessories,4726949.5,557465.98,746,251
PROD0217,Furniture Product 217,Home & Kitchen,21998277.84,9383882.24,829,270
PROD0218,Self Help Product 218,Books,3366892.19,451344.17,891,284
PROD0219,Cameras Product 219,Electronics,2325158.34,165892.86,708,246
PROD0220,Makeup Product 220,Beauty,24636797.04,10714958.89,815,277
PROD0221,Accessories Product 221,Fashion,2549750.56,12888.609999999999,665,224
PROD0222,Home Decor Product 222,Home & Kitchen,10179840.56,2954149.97,639,215
PROD0223,Non Fiction Product 223,Books,28144636.49,922097.42,807,269
PROD0224,Academic Product 224,Books,33248320.89,3834741.75,794,261
PROD0225,Yoga Product 225,Sports,11425330.0,4996075.0,700,247
PROD0226,Women Clothing Product 226,Fashion,24878791.63,5116398.85,754,252
PROD0227,Smartphones Product 227,Electronics,13936911.3,644845.05,765,254
PROD0228,Travel Accessories Product 228,Accessories,4067253.53,979590.77,819,268
PROD0229,Skincare Product 229,Beauty,554115.92,139250.57,753,256
PROD0230,Headphones Product 230,Electronics,2209159.5,914324.7,840,277
PROD0231,Footwear Product 231,Fashion,4032950.42,698919.77,765,255
PROD0232,Men Clothing Product 232,Fashion,24270562.08,4526240.5,773,254
PROD0233,Furniture Product 233,Home & Kitchen,28325344.97,8174433.97,698,237
PROD0234,Footwear Product 234,Fashion,9506997.84,488021.64,780,260
PROD0235,Haircare Product 235,Beauty,7851716.24,215855.33,801,266
PROD0236,Cookware Product 236,Home & Kitchen,534754.36,11266.58,691,243
PROD0237,Team Sports Product 237,Sports,1742196.0,97689.78,834,269
PROD0238,Technology Product 238,Books,15467482.65,-83895.63,692,231
PROD0239,Headphones Product 239,Electronics,2416640.57,500886.64,719,237
PROD0240,Yoga Product 240,Sports,33025083.11,7364270.57,803,264
PROD0241,Headphones Product 241,Electronics,18274409.35,2818066.63,672,231
PROD0242,Makeup Product 242,Beauty,15998761.0,2840294.8,820,276
PROD0243,Outdoor Product 243,Sports,19631381.61,964607.56,785,262
PROD0244,Home Decor Product 244,Home & Kitchen,1484449.54,510266.85000000003,677,241
PROD0245,Smart Watches Product 245,Electronics,32534212.61,1534473.3,809,264
PROD0246,Sportswear Product 246,Sports,14867033.47,2789747.9899999998,754,246
PROD0247,Footwear Product 247,Fashion,9295386.56,3524501.96,780,261
PROD0248,Headphones Product 248,Electronics,14298841.78,4414225.5,716,241
PROD0249,Jewellery Product 249,Accessories,17084050.26,7327016.34,692,232
PROD0250,Sunglasses Product 250,Accessories,29978083.36,62367.78,727,236
PROD0251,Smartphones Product 251,Electronics,22540524.0,5076432.05,751,255
PROD0252,Technology Product 252,Books,10175467.84,907376.14,762,256
PROD0253,Footwear Product 253,Fashion,20133497.09,7897456.21,692,238
PROD0254,Accessories Product 254,Fashion,28425297.16,2544258.97,729,250
PROD0255,Smartphones Product 255,Electronics,30248371.94,4259648.56,739,238
PROD0256,Accessories Product 256,Fashion,21986350.54,6003507.17,841,278
PROD0257,Technology Product 257,Books,26266271.81,1704490.09,661,230
PROD0258,Smart Watches Product 258,Electronics,1646186.96,752223.8,762,258
PROD0259,Jewellery Product 259,Accessories,12090126.12,1228146.18,738,246
PROD0260,Fragrances Product 260,Beauty,31277843.02,12766338.82,735,245
PROD0261,Fiction Product 261,Books,17718010.13,5140921.13,700,231
PROD0262,Outdoor Product 262,Sports,32329870.96,2407852.4,784,261
PROD0263,Men Clothing Product 263,Fashion,27697699.64,6831373.64,780,258
PROD0264,Outdoor Product 264,Sports,14688214.78,5012372.67,827,280
PROD0265,Technology Product 265,Books,2065714.76,135160.08,782,270
PROD0266,Jewellery Product 266,Accessories,28360989.21,-349881.09,830,257
PROD0267,Fitness Equipment Product 267,Sports,33555946.14,7395351.46,781,262
PROD0268,Furniture Product 268,Home & Kitchen,24628452.55,647285.35,752,253
PROD0269,Outdoor Product 269,Sports,26704705.78,9499440.78,737,249
PROD0270,Accessories Product 270,Fashion,14582585.69,5999223.11,754,249
PROD0271,Smartphones Product 271,Electronics,33171922.52,6242586.57,815,263
PROD0272,Travel Accessories Product 272,Accessories,7532903.6,1112015.84,766,255
PROD0273,Technology Product 273,Books,19998598.98,5993413.72,761,258
PROD0274,Sportswear Product 274,Sports,3571992.09,556383.6900000001,706,251
PROD0275,Cookware Product 275,Home & Kitchen,16592576.09,1941062.09,738,245
PROD0276,Sunglasses Product 276,Accessories,16106573.8,987300.8,731,243
PROD0277,Personal Care Product 277,Beauty,16585175.35,3307983.65,710,233
PROD0278,Wallets Product 278,Accessories,25510657.69,7406064.19,675,218
PROD0279,Team Sports Product 279,Sports,4462693.44,2046976.16,752,251
PROD0280,Laptops Product 280,Electronics,23842937.48,4325762.73,739,242
PROD0281,Skincare Product 281,Beauty,21972213.59,7957184.03,742,248
PROD0282,Ethnic Wear Product 282,Fashion,4158337.52,1958123.68,682,235
PROD0283,Haircare Product 283,Beauty,11938843.88,2382482.96,786,267
PROD0284,Bags Product 284,Accessories,12070704.36,3274653.18,711,240
PROD0285,Men Clothing Product 285,Fashion,29220187.51,8853414.39,764,250
PROD0286,Cookware Product 286,Home & Kitchen,15872103.39,1527033.9,727,243
PROD0287,Travel Accessories Product 287,Accessories,11579334.0,2085277.6099999999,679,230
PROD0288,Personal Care Product 288,Beauty,26071778.65,751217.02,707,240
PROD0289,Academic Product 289,Books,4869274.93,142067.31,757,258
PROD0290,Outdoor Product 290,Sports,16021018.23,5473057.73,770,259
PROD0291,Men Clothing Product 291,Fashion,13268254.03,89406.44999999998,677,250
PROD0292,Makeup Product 292,Beauty,15455745.06,5036302.86,723,233
PROD0293,Yoga Product 293,Sports,22748773.98,8102217.42,844,283
PROD0294,Fitness Equipment Product 294,Sports,2430604.56,1026038.8,688,243
PROD0295,Wallets Product 295,Accessories,4064500.21,1607064.91,722,246
PROD0296,Kitchen Appliances Product 296,Home & Kitchen,4538265.25,774987.85,740,253
PROD0297,Technology Product 297,Books,6175984.97,1874120.33,783,262
PROD0298,Kitchen Appliances Product 298,Home & Kitchen,31135556.6,7631558.81,819,268
PROD0299,Kitchen Appliances Product 299,Home & Kitchen,18547940.58,7116855.32,658,223
PROD0300,Kitchen Appliances Product 300,Home & Kitchen,6103798.61,2798792.88,719,238
PROD0301,Fiction Product 301,Books,4946846.35,1670829.76,671,228
PROD0302,Fitness Equipment Product 302,Sports,5836358.78,2532727.02,748,241
PROD0303,Ethnic Wear Product 303,Fashion,3904719.96,989559.86,730,249
PROD0304,Smart Watches Product 304,Electronics,6489823.68,1937623.0,724,251
PROD0305,Smartphones Product 305,Electronics,14439145.17,2249094.57,663,226
PROD0306,Headphones Product 306,Electronics,1389564.1300000001,130026.73,726,247
PROD0307,Outdoor Product 307,Sports,18477389.9,7877156.01,697,240
PROD0308,Kitchen Appliances Product 308,Home & Kitchen,27112322.22,1318078.57,721,243
PROD0309,Non Fiction Product 309,Books,2458915.36,841002.06,865,279
PROD0310,Non Fiction Product 310,Books,25983799.28,2904537.13,763,259
PROD0311,Academic Product 311,Books,6103859.73,2262150.93,760,251
PROD0312,Fitness Equipment Product 312,Sports,13475778.0,3344040.75,841,285
PROD0313,Cameras Product 313,Electronics,22266713.05,6636801.79,843,280
PROD0314,Home Decor Product 314,Home & Kitchen,12866143.18,1441351.53,655,223
PROD0315,Footwear Product 315,Fashion,1279118.98,459082.17,701,245
PROD0316,Furniture Product 316,Home & Kitchen,26487243.15,1178061.39,876,295
PROD0317,Technology Product 317,Books,15811312.459999999,3446248.96,725,238
PROD0318,Haircare Product 318,Beauty,3333502.85,842159.49,704,234
PROD0319,Home Decor Product 319,Home & Kitchen,17604929.97,6256248.47,775,275
PROD0320,Skincare Product 320,Beauty,8624748.15,2557406.61,738,254
PROD0321,Home Decor Product 321,Home & Kitchen,671451.01,213304.41,610,209
PROD0322,Laptops Product 322,Electronics,6919037.81,2227877.81,747,250
PROD0323,Technology Product 323,Books,3882791.29,213249.05,728,244
PROD0324,Yoga Product 324,Sports,19861534.33,3065340.52,781,262
PROD0325,Smartphones Product 325,Electronics,24366381.65,5502937.4,735,248
PROD0326,Bags Product 326,Accessories,2737776.39,621492.22,689,223
PROD0327,Sportswear Product 327,Sports,18690873.12,2310880.87,743,258
PROD0328,Non Fiction Product 328,Books,14841964.28,6111713.09,801,266
PROD0329,Headphones Product 329,Electronics,8485772.17,2552889.41,692,234
PROD0330,Accessories Product 330,Fashion,20676097.68,4323944.88,744,255
PROD0331,Kitchen Appliances Product 331,Home & Kitchen,11196562.209999999,99664.31000000003,730,243
PROD0332,Fragrances Product 332,Beauty,19666342.04,7041145.04,762,252
PROD0333,Smartphones Product 333,Electronics,3879994.25,1538140.7,855,282
PROD0334,Headphones Product 334,Electronics,8010539.55,3141294.75,756,245
PROD0335,Sportswear Product 335,Sports,6432926.47,2151368.8,793,260
PROD0336,Footwear Product 336,Fashion,6113714.9799999995,316095.10000000003,804,269
PROD0337,Bags Product 337,Accessories,2793770.41,623935.08,767,256
PROD0338,Yoga Product 338,Sports,14234997.0,103469.7,810,268
PROD0339,Academic Product 339,Books,3765707.24,1088294.39,749,260
PROD0340,Wallets Product 340,Accessories,30338521.89,1927413.09,736,235
PROD0341,Self Help Product 341,Books,23536284.91,8329610.35,672,230
PROD0342,Bags Product 342,Accessories,5026669.27,749384.23,678,229
PROD0343,Men Clothing Product 343,Fashion,34514633.26,7212378.88,873,282
PROD0344,Fragrances Product 344,Beauty,17855368.84,6109598.44,728,237
PROD0345,Technology Product 345,Books,24818352.88,9545865.58,755,253
PROD0346,Cookware Product 346,Home & Kitchen,8776966.1,2394784.22,628,210
PROD0347,Smartphones Product 347,Electronics,16674791.15,5979110.17,766,260
PROD0348,Smartphones Product 348,Electronics,3855482.71,715005.85,753,252
PROD0349,Laptops Product 349,Electronics,9571054.0,1834846.6,774,251
PROD0350,Non Fiction Product 350,Books,4729128.7299999995,1185016.13,692,235
PROD0351,Men Clothing Product 351,Fashion,16981352.77,7568196.61,747,250
PROD0352,Smart Watches Product 352,Electronics,10992708.61,4464287.47,761,245
PROD0353,Personal Care Product 353,Beauty,2351584.24,31432.39,795,262
PROD0354,Jewellery Product 354,Accessories,9225439.4,825405.45,665,230
PROD0355,Home Decor Product 355,Home & Kitchen,7917321.08,1186215.64,719,246
PROD0356,Self Help Product 356,Books,24789575.55,4738122.3,765,262
PROD0357,Self Help Product 357,Books,17140258.44,4678511.1,854,275
PROD0358,Women Clothing Product 358,Fashion,11295502.66,452696.62,748,247
PROD0359,Accessories Product 359,Fashion,27808231.25,623706.01,782,252
PROD0360,Non Fiction Product 360,Books,4210355.61,555819.61,760,245
PROD0361,Personal Care Product 361,Beauty,32863781.7,12852613.86,816,265
PROD0362,Kitchen Appliances Product 362,Home & Kitchen,2278848.27,268790.79,747,251
PROD0363,Furniture Product 363,Home & Kitchen,18653525.95,1470965.84,757,247
PROD0364,Home Decor Product 364,Home & Kitchen,4874123.62,493500.61,787,261
PROD0365,Haircare Product 365,Beauty,6473875.09,2499812.68,747,250
PROD0366,Accessories Product 366,Fashion,5723533.04,509628.82,794,266
PROD0367,Smart Watches Product 367,Electronics,21932061.93,4954253.37,772,265
PROD0368,Cookware Product 368,Home & Kitchen,13078516.8,864614.9299999999,841,274
PROD0369,Fiction Product 369,Books,13276950.23,1002928.19,798,271
PROD0370,Furniture Product 370,Home & Kitchen,13480983.75,3937176.97,718,246
PROD0371,Team Sports Product 371,Sports,15212923.84,4992067.94,769,263
PROD0372,Bags Product 372,Accessories,21811488.55,5179363.59,682,226
PROD0373,Cookware Product 373,Home & Kitchen,7096766.98,317223.79,707,234
PROD0374,Kitchen Appliances Product 374,Home & Kitchen,11693717.67,2510428.57,710,237
PROD0375,Outdoor Product 375,Sports,28108051.87,4943443.67,730,243
PROD0376,Accessories Product 376,Fashion,4282013.35,144039.15,820,275
PROD0377,Fiction Product 377,Books,21333609.04,6839838.36,788,261
