return_id,order_id,return_date,return_reason
RET000058,ORD045927,2024-12-09,Poor Quality
RET000059,ORD043825,2024-07-19,Late Delivery
RET000060,ORD017241,2023-09-04,Damaged Product
RET000061,ORD004893,2025-01-23,Poor Quality
RET000062,ORD000726,2025-07-03,Poor Quality
RET000063,ORD022950,2023-06-25,Changed Mind
RET000064,ORD034658,2024-09-26,Damaged Product
RET000065,ORD037214,2024-08-13,Changed Mind
RET000066,ORD020305,2024-02-19,Late Delivery
RET000067,ORD015270,2024-08-30,Damaged Product
RET000068,ORD022368,2024-05-11,Changed Mind
RET000069,ORD042685,2024-01-08,Size Issue
RET000070,ORD046735,2024-08-16,Damaged Product
RET000071,ORD011733,2025-03-28,Damaged Product
RET000072,ORD018620,2024-08-11,Wrong Product
RET000073,ORD048493,2023-07-19,Poor Quality
RET000074,ORD026804,2024-08-07,Late Delivery
RET000075,ORD044306,2024-12-08,Damaged Product
RET000076,ORD047523,2024-10-25,Size Issue
RET000077,ORD032208,2024-12-13,Size Issue
RET000078,ORD002531,2024-05-09,Poor Quality
RET000079,ORD017747,2023-05-31,Poor Quality
RET000080,ORD008271,2025-07-24,Late Delivery
RET000081,ORD015080,2025-10-14,Late Delivery
RET000082,ORD013625,2025-06-11,Poor Quality
RET000083,ORD030639,2025-09-06,Changed Mind
RET000084,ORD030441,2025-03-06,Late Delivery
RET000085,ORD036057,2024-05-14,Wrong Product
RET000086,ORD042652,2023-02-21,Poor Quality
RET000087,ORD036804,2023-11-12,Late Delivery
RET000088,ORD048225,2025-11-12,Changed Mind
RET000089,ORD029227,2024-11-14,Wrong Product
RET000090,ORD005634,2025-10-19,Wrong Product
RET000091,ORD005988,2023-10-22,Size Issue
RET000092,ORD048064,2024-08-24,Wrong Product
RET000093,ORD001813,2023-04-16,Wrong Product
RET000094,ORD027579,2024-12-13,Changed Mind
RET000095,ORD016824,2025-11-02,Size Issue
RET000096,ORD003929,2023-04-30,Changed Mind
RET000097,ORD037287,2024-07-15,Wrong Product
RET000098,ORD025046,2023-12-31,Size Issue
RET000099,ORD015728,2025-02-23,Late Delivery
RET000100,ORD029601,2024-08-10,Wrong Product
RET000101,ORD010431,2024-07-20,Poor Quality
RET000102,ORD025769,2024-08-30,Changed Mind
RET000103,ORD029104,2023-12-05,Damaged Product
RET000104,ORD036538,2023-11-07,Changed Mind
RET000105,ORD039329,2023-08-12,Size Issue
RET000106,ORD035540,2025-05-09,Poor Quality
RET000107,ORD028076,2025-12-11,Damaged Product
RET000108,ORD017841,2025-10-02,Damaged Product
RET000109,ORD027803,2023-12-03,Poor Quality
RET000110,ORD007683,2025-07-16,Late Delivery
RET000111,ORD024280,2025-12-20,Changed Mind
RET000112,ORD033071,2025-06-18,Damaged Product
RET000113,ORD035558,2024-12-17,Size Issue
RET000114,ORD037190,2023-09-05,Size Issue
RET000115,ORD047150,2024-05-16,Damaged Product
RET000116,ORD046916,2023-10-18,Size Issue
RET000117,ORD009802,2023-05-20,Changed Mind
RET000118,ORD038801,2025-07-04,Wrong Product
RET000119,ORD024670,2024-08-13,Damaged Product
RET000120,ORD044234,2024-05-20,Wrong Product
RET000121,ORD031920,2025-03-15,Damaged Product
RET000122,ORD007135,2024-12-23,Damaged Product
RET000123,ORD033705,2025-10-18,Wrong Product
RET000124,ORD029661,2024-12-30,Size Issue
RET000125,ORD017894,2023-12-09,Size Issue
RET000126,ORD022019,2025-05-02,Changed Mind
RET000127,ORD013539,2023-10-27,Late Delivery
RET000128,ORD043119,2023-03-25,Late Delivery
RET000129,ORD036421,2023-05-14,Damaged Product
RET000130,ORD009406,2023-01-30,Size Issue
RET000131,ORD013414,2024-02-13,Late Delivery
RET000132,ORD006721,2025-12-30,Poor Quality
RET000133,ORD015602,2023-02-15,Changed Mind
RET000134,ORD044744,2024-01-17,Poor Quality
RET000135,ORD031139,2025-01-10,Wrong Product
RET000136,ORD002730,2025-10-19,Changed Mind
RET000137,ORD038243,2024-04-05,Poor Quality
RET000138,ORD029626,2024-09-09,Poor Quality
RET000139,ORD047895,2024-06-16,Size Issue
RET000140,ORD042091,2023-03-27,Poor Quality
RET000141,ORD036400,2025-11-15,Poor Quality
RET000142,ORD006245,2025-04-19,Damaged Product
RET000143,ORD005546,2025-05-07,Poor Quality
RET000144,ORD004065,2025-11-19,Size Issue
RET000145,ORD012852,2025-11-19,Poor Quality
RET000146,ORD021803,2023-06-26,Size Issue
RET000147,ORD041164,2024-11-22,Size Issue
RET000148,ORD006233,2023-01-17,Size Issue
RET000149,ORD003863,2023-11-05,Damaged Product
RET000150,ORD035095,2024-12-29,Changed Mind
RET000151,ORD040196,2023-01-30,Poor Quality
RET000152,ORD039251,2025-10-23,Wrong Product
RET000153,ORD006218,2023-09-14,Size Issue
RET000154,ORD036776,2025-08-28,Poor Quality
RET000155,ORD042977,2024-11-12,Changed Mind
RET000156,ORD048468,2024-10-08,Wrong Product
RET000157,ORD014832,2025-02-11,Size Issue
RET000158,ORD030093,2024-05-29,Changed Mind
RET000159,ORD008894,2025-02-25,Wrong Product
RET000160,ORD006021,2024-11-04,Changed Mind
RET000161,ORD046089,2024-01-19,Changed Mind
RET000162,ORD015243,2023-11-21,Size Issue
RET000163,ORD045308,2025-06-02,Changed Mind
RET000164,ORD026551,2023-09-15,Wrong Product
RET000165,ORD006035,2025-06-12,Poor Quality
RET000166,ORD007906,2023-12-26,Size Issue
RET000167,ORD032226,2024-04-07,Late Delivery
RET000168,ORD006018,2024-04-17,Damaged Product
RET000169,ORD021880,2024-06-14,Late Delivery
RET000170,ORD002792,2024-10-03,Damaged Product
RET000171,ORD042606,2025-08-13,Size Issue
RET000172,ORD005824,2025-12-27,Wrong Product
RET000173,ORD015388,2025-07-29,Late Delivery
RET000174,ORD029562,2025-03-21,Size Issue
RET000175,ORD039476,2025-07-06,Changed Mind
RET000176,ORD000293,2023-10-10,Poor Quality
RET000177,ORD016958,2024-12-08,Changed Mind
RET000178,ORD030861,2025-05-15,Poor Quality
RET000179,ORD014074,2024-02-17,Damaged Product
RET000180,ORD021857,2023-03-07,Poor Quality
RET000181,ORD022080,2025-01-19,Wrong Product
RET000182,ORD017024,2025-06-13,Wrong Product
RET000183,ORD008740,2023-08-13,Size Issue
RET000184,ORD015826,2025-04-19,Wrong Product
RET000185,ORD002742,2025-07-30,Late Delivery
RET000186,ORD018049,2024-08-30,Late Delivery
RET000187,ORD049937,2024-03-05,Late Delivery
RET000188,ORD017373,2023-08-09,Changed Mind
RET000189,ORD022022,2025-01-01,Wrong Product
RET000190,ORD046365,2023-07-16,Changed Mind
RET000191,ORD023538,2023-12-14,Wrong Product
RET000192,ORD045500,2024-04-01,Late Delivery
RET000193,ORD040186,2024-11-17,Size Issue
RET000194,ORD009614,2023-07-19,Late Delivery
RET000195,ORD043282,2025-11-07,Poor Quality
RET000196,ORD037892,2023-05-21,Changed Mind
RET000197,ORD026179,2023-02-22,Late Delivery
RET000198,ORD045893,2023-05-15,Size Issue
RET000199,ORD020934,2023-02-05,Changed Mind
RET000200,ORD040972,2024-02-20,Damaged Product
RET000201,ORD022225,2023-05-18,Poor Quality
RET000202,ORD024382,2023-03-05,Late Delivery
RET000203,ORD034856,2024-09-07,Changed Mind
RET000204,ORD048578,2025-02-11,Late Delivery
RET000205,ORD038537,2023-09-19,Changed Mind
RET000206,ORD031756,2024-10-04,Size Issue
RET000207,ORD007754,2025-06-14,Wrong Product
RET000208,ORD046639,2025-04-21,Wrong Product
RET000209,ORD043835,2024-08-20,Wrong Product
RET000210,ORD026236,2025-05-16,Changed Mind
RET000211,ORD044230,2025-05-13,Wrong Product
RET000212,ORD049597,2023-12-07,Poor Quality
RET000213,ORD018553,2024-11-28,Late Delivery
RET000214,ORD043137,2024-06-01,Size Issue
RET000215,ORD036673,2024-06-28,Poor Quality
RET000216,ORD043650,2023-04-25,Late Delivery
RET000217,ORD003941,2025-05-06,Damaged Product
RET000218,ORD031497,2025-11-05,Wrong Product
RET000219,ORD026594,2023-02-05,Size Issue
RET000220,ORD023922,2024-09-21,Size Issue
RET000221,ORD026403,2024-07-14,Late Delivery
RET000222,ORD045943,2023-05-29,Wrong Product
RET000223,ORD048526,2023-09-28,Damaged Product
RET000224,ORD018316,2023-07-15,Poor Quality
RET000225,ORD036894,2024-03-14,Size Issue
RET000226,ORD026696,2024-09-20,Size Issue
RET000227,ORD042128,2023-12-18,Wrong Product
RET000228,ORD014171,2025-07-05,Late Delivery
RET000229,ORD003733,2026-01-10,Damaged Product
RET000230,ORD007882,2024-03-22,Late Delivery
RET000231,ORD006017,2025-12-04,Damaged Product
RET000232,ORD023030,2023-11-20,Size Issue
RET000233,ORD035474,2024-10-23,Poor Quality
RET000234,ORD049686,2023-03-30,Damaged Product
RET000235,ORD004818,2024-03-25,Changed Mind
RET000236,ORD041694,2024-12-31,Size Issue
RET000237,ORD012008,2024-07-19,Poor Quality
RET000238,ORD041328,2024-12-16,Wrong Product
RET000239,ORD009507,2024-03-21,Poor Quality
RET000240,ORD044799,2024-06-14,Poor Quality
RET000241,ORD034063,2025-10-28,Wrong Product
RET000242,ORD027475,2023-12-09,Changed Mind
RET000243,ORD031144,2025-07-16,Wrong Product
RET000244,ORD021236,2025-09-08,Wrong Product
RET000245,ORD001391,2025-01-28,Changed Mind
RET000246,ORD038250,2023-04-27,Size Issue
RET000247,ORD037625,2025-03-22,Poor Quality
RET000248,ORD042029,2024-04-08,Wrong Product
RET000249,ORD020835,2024-03-12,Damaged Product
RET000250,ORD014758,2024-06-29,Late Delivery
RET000251,ORD026397,2025-04-24,Poor Quality
RET000252,ORD006809,2023-03-24,Changed Mind
RET000253,ORD009226,2023-03-07,Wrong Product
RET000254,ORD048395,2024-03-16,Size Issue
RET000255,ORD005396,2025-04-08,Poor Quality
RET000256,ORD006944,2024-10-21,Changed Mind
RET000257,ORD023871,2023-05-10,Damaged Product
RET000258,ORD032493,2025-10-25,Damaged Product
RET000259,ORD036346,2025-06-30,Damaged Product
RET000260,ORD010756,2023-07-19,Damaged Product
RET000261,ORD012302,2024-11-19,Damaged Product
RET000262,ORD048387,2025-09-22,Wrong Product
RET000263,ORD042746,2023-11-29,Damaged Product
RET000264,ORD029090,2023-03-05,Changed Mind
RET000265,ORD044713,2024-10-02,Poor Quality
RET000266,ORD014344,2023-09-29,Changed Mind
RET000267,ORD038173,2024-08-01,Size Issue
RET000268,ORD005072,2025-03-14,Poor Quality
RET000269,ORD024122,2023-10-22,Late Delivery
RET000270,ORD048810,2025-06-17,Poor Quality
RET000271,ORD017821,2025-08-05,Wrong Product
RET000272,ORD001123,2023-07-25,Size Issue
RET000273,ORD011265,2023-08-09,Poor Quality
RET000274,ORD030580,2024-01-12,Wrong Product
RET000275,ORD045465,2023-03-26,Size Issue
RET000276,ORD048217,2025-06-27,Poor Quality
RET000277,ORD043045,2024-08-29,Poor Quality
RET000278,ORD015657,2024-05-22,Wrong Product
RET000279,ORD001901,2025-04-29,Poor Quality
RET000280,ORD000148,2023-06-24,Changed Mind
RET000281,ORD029643,2026-01-02,Damaged Product
RET000282,ORD003212,2024-09-21,Late Delivery
RET000283,ORD043851,2025-03-27,Size Issue
RET000284,ORD002355,2024-03-18,Changed Mind
RET000285,ORD031521,2024-12-07,Changed Mind
RET000286,ORD042584,2024-08-24,Size Issue
RET000287,ORD043338,2023-03-23,Poor Quality
RET000288,ORD045285,2023-08-30,Poor Quality
RET000289,ORD046957,2023-10-16,Changed Mind
RET000290,ORD048791,2023-06-20,Late Delivery
RET000291,ORD036586,2023-08-20,Wrong Product
RET000292,ORD010466,2024-07-16,Poor Quality
RET000293,ORD007822,2023-07-23,Changed Mind
RET000294,ORD007206,2023-01-20,Size Issue
RET000295,ORD006414,2024-07-28,Size Issue
RET000296,ORD034047,2023-10-03,Changed Mind
RET000297,ORD012729,2024-11-21,Changed Mind
RET000298,ORD006926,2024-02-11,Damaged Product
RET000299,ORD027996,2025-10-07,Late Delivery
RET000300,ORD037613,2024-10-19,Wrong Product
RET000301,ORD039484,2023-03-09,Late Delivery
RET000302,ORD003017,2024-03-14,Changed Mind
RET000303,ORD001641,2023-12-24,Late Delivery
RET000304,ORD008884,2023-08-04,Damaged Product
RET000305,ORD037602,2023-05-08,Poor Quality
RET000306,ORD012970,2023-06-12,Damaged Product
RET000307,ORD023464,2025-07-07,Size Issue
RET000308,ORD015758,2025-10-03,Late Delivery
RET000309,ORD044077,2025-03-30,Damaged Product
RET000310,ORD004087,2024-06-10,Changed Mind
RET000311,ORD000509,2025-07-26,Poor Quality
RET000312,ORD006355,2024-10-11,Changed Mind
RET000313,ORD029645,2024-05-31,Late Delivery
RET000314,ORD020816,2024-07-03,Size Issue
RET000315,ORD006235,2024-06-20,Damaged Product
RET000316,ORD031990,2025-10-13,Poor Quality
RET000317,ORD012996,2023-04-24,Changed Mind
RET000318,ORD042502,2023-12-05,Wrong Product
RET000319,ORD038921,2024-09-08,Late Delivery
RET000320,ORD000263,2023-01-27,Changed Mind
RET000321,ORD007892,2024-07-11,Poor Quality
RET000322,ORD010528,2023-07-13,Changed Mind
RET000323,ORD018601,2025-01-06,Damaged Product
RET000324,ORD024115,2023-09-29,Late Delivery
RET000325,ORD033499,2023-02-14,Wrong Product
RET000326,ORD013472,2023-03-11,Late Delivery
RET000327,ORD031726,2023-12-15,Poor Quality
RET000328,ORD023691,2024-04-27,Damaged Product
RET000329,ORD010558,2024-09-28,Wrong Product
RET000330,ORD006557,2025-05-06,Late Delivery
RET000331,ORD045578,2024-05-21,Changed Mind
RET000332,ORD041504,2023-07-28,Size Issue
RET000333,ORD027873,2025-11-18,Damaged Product
RET000334,ORD010811,2024-01-23,Size Issue
RET000335,ORD038215,2024-02-24,Poor Quality
RET000336,ORD011731,2025-06-28,Size Issue
RET000337,ORD027439,2023-09-12,Poor Quality
RET000338,ORD021780,2024-09-24,Changed Mind
RET000339,ORD034080,2025-01-20,Changed Mind
RET000340,ORD022916,2024-04-12,Size Issue
RET000341,ORD008086,2025-12-02,Size Issue
RET000342,ORD043468,2024-09-13,Wrong Product
RET000343,ORD014710,2025-02-04,Poor Quality
RET000344,ORD015467,2023-07-08,Wrong Product
RET000345,ORD037173,2024-07-22,Changed Mind
RET000346,ORD028749,2023-02-11,Poor Quality
RET000347,ORD003105,2023-04-23,Late Delivery
RET000348,ORD000709,2025-04-27,Changed Mind
RET000349,ORD038386,2023-02-27,Changed Mind
RET000350,ORD023445,2024-04-15,Wrong Product
RET000351,ORD026511,2025-06-07,Changed Mind
RET000352,ORD008467,2024-04-18,Changed Mind
RET000353,ORD006231,2023-08-29,Size Issue
RET000354,ORD046359,2023-05-22,Damaged Product
RET000355,ORD039358,2023-07-20,Wrong Product
RET000356,ORD016387,2024-03-26,Wrong Product
RET000357,ORD034166,2023-07-20,Changed Mind
RET000358,ORD004169,2023-10-13,Size Issue
RET000359,ORD005804,2023-11-20,Poor Quality
RET000360,ORD012754,2025-02-09,Late Delivery
RET000361,ORD002190,2023-03-22,Damaged Product
RET000362,ORD012188,2024-05-24,Damaged Product
RET000363,ORD031728,2023-06-12,Wrong Product
RET000364,ORD019246,2025-12-13,Size Issue
RET000365,ORD037867,2023-07-02,Damaged Product
RET000366,ORD043515,2025-06-20,Poor Quality
RET000367,ORD008719,2025-09-25,Damaged Product
RET000368,ORD028825,2025-02-26,Late Delivery
RET000369,ORD024469,2023-12-07,Late Delivery
RET000370,ORD048253,2024-08-04,Damaged Product
RET000371,ORD007202,2023-09-02,Damaged Product
RET000372,ORD009283,2023-11-20,Wrong Product
RET000373,ORD026821,2023-03-02,Damaged Product
RET000374,ORD027374,2025-05-05,Size Issue
RET000375,ORD022493,2025-11-27,Size Issue
RET000376,ORD045638,2023-10-13,Wrong Product
RET000377,ORD045880,2024-07-29,Changed Mind
RET000378,ORD029340,2024-06-09,Damaged Product
RET000379,ORD046548,2025-11-04,Wrong Product
RET000380,ORD010804,2024-08-11,Late Delivery
RET000381,ORD020965,2025-12-25,Poor Quality
RET000382,ORD030033,2023-10-31,Size Issue
RET000383,ORD005223,2023-01-31,Late Delivery
RET000384,ORD000660,2023-01-15,Damaged Product
RET000385,ORD033246,2023-08-13,Damaged Product
RET000386,ORD005866,2026-01-07,Late Delivery
RET000387,ORD048872,2024-04-22,Poor Quality
RET000388,ORD022986,2024-12-20,Late Delivery
RET000389,ORD028881,2023-03-08,Damaged Product
RET000390,ORD047088,2025-12-08,Poor Quality
RET000391,ORD026528,2024-09-04,Changed Mind
RET000392,ORD009648,2023-10-09,Damaged Product
RET000393,ORD049546,2023-05-07,Damaged Product
RET000394,ORD032375,2025-03-20,Wrong Product
RET000395,ORD026159,2025-08-07,Changed Mind
RET000396,ORD011712,2023-02-25,Wrong Product
RET000397,ORD027239,2025-05-08,Wrong Product
RET000398,ORD018354,2025-01-20,Changed Mind
RET000399,ORD049515,2023-12-26,Damaged Product
RET000400,ORD021725,2025-06-01,Wrong Product
RET000401,ORD025925,2024-06-09,Damaged Product
RET000402,ORD041390,2024-01-20,Late Delivery
RET000403,ORD004773,2024-09-20,Size Issue
RET000404,ORD035205,2026-01-12,Late Delivery
RET000405,ORD027879,2024-08-18,Changed Mind
RET000406,ORD005875,2025-04-10,Poor Quality
RET000407,ORD017805,2025-03-31,Changed Mind
RET000408,ORD034224,2025-05-22,Wrong Product
RET000409,ORD007842,2024-11-22,Size Issue
RET000410,ORD015923,2023-08-27,Wrong Product
RET000411,ORD028367,2024-01-26,Size Issue
RET000412,ORD012084,2024-08-30,Poor Quality
RET000413,ORD020034,2023-04-26,Late Delivery
RET000414,ORD014488,2025-02-28,Damaged Product
RET000415,ORD020819,2025-07-31,Poor Quality
RET000416,ORD037518,2024-12-03,Damaged Product
RET000417,ORD044236,2025-04-10,Changed Mind
RET000418,ORD048651,2025-12-31,Size Issue
RET000419,ORD036236,2025-11-18,Late Delivery
RET000420,ORD021070,2025-11-05,Size Issue
RET000421,ORD009524,2026-01-03,Wrong Product
RET000422,ORD032756,2024-05-21,Changed Mind
RET000423,ORD012054,2024-04-30,Wrong Product
RET000424,ORD023594,2023-02-10,Wrong Product
RET000425,ORD008038,2025-05-20,Size Issue
RET000426,ORD046977,2025-01-12,Late Delivery
RET000427,ORD016400,2024-06-12,Size Issue
RET000428,ORD045786,2024-11-16,Poor Quality
RET000429,ORD034616,2025-04-15,Changed Mind
RET000430,ORD007625,2024-05-21,Wrong Product
RET000431,ORD013662,2025-05-28,Poor Quality
RET000432,ORD037737,2025-07-14,Late Delivery
RET000433,ORD026542,2023-06-26,Damaged Product
RET000434,ORD013268,2023-09-05,Size Issue
RET000435,ORD018083,2024-06-29,Late Delivery
RET000436,ORD048086,2025-01-02,Size Issue
RET000437,ORD042768,2023-04-01,Size Issue
RET000438,ORD004071,2023-11-25,Size Issue
RET000439,ORD016287,2024-04-04,Poor Quality
RET000440,ORD001119,2023-02-27,Wrong Product
RET000441,ORD010075,2025-01-28,Wrong Product
RET000442,ORD011374,2025-06-08,Damaged Product
RET000443,ORD032685,2025-10-16,Damaged Product
RET000444,ORD046434,2024-02-26,Damaged Product
RET000445,ORD025350,2023-02-01,Damaged Product
RET000446,ORD006716,2023-07-20,Late Delivery
RET000447,ORD034568,2023-05-29,Late Delivery
RET000448,ORD001031,2024-01-23,Poor Quality
RET000449,ORD022754,2023-06-05,Poor Quality
RET000450,ORD011762,2024-08-06,Poor Quality
RET000451,ORD035897,2025-01-05,Poor Quality
RET000452,ORD014493,2024-11-02,Size Issue
RET000453,ORD025086,2025-03-24,Changed Mind
RET000454,ORD020396,2025-12-19,Wrong Product
RET000455,ORD004814,2025-09-16,Changed Mind
RET000456,ORD008995,2025-06-26,Late Delivery
RET000457,ORD049692,2025-09-03,Wrong Product
RET000458,ORD021375,2023-08-23,Damaged Product
RET000459,ORD030243,2023-03-21,Damaged Product
RET000460,ORD047579,2023-10-28,Poor Quality
RET000461,ORD001165,2023-11-27,Poor Quality
RET000462,ORD024811,2023-04-05,Changed Mind
RET000463,ORD021110,2023-06-11,Changed Mind
RET000464,ORD003698,2023-06-20,Wrong Product
RET000465,ORD011439,2023-06-30,Size Issue
RET000466,ORD004470,2023-07-06,Late Delivery
RET000467,ORD009808,2023-03-04,Damaged Product
RET000468,ORD047768,2023-12-20,Poor Quality
RET000469,ORD006749,2023-05-14,Damaged Product
RET000470,ORD049185,2024-02-03,Changed Mind
RET000471,ORD017379,2025-10-09,Changed Mind
RET000472,ORD036885,2023-03-13,Size Issue
RET000473,ORD013357,2023-08-22,Late Delivery
RET000474,ORD032405,2025-09-06,Changed Mind
RET000475,ORD042455,2024-05-10,Late Delivery
RET000476,ORD046066,2023-12-24,Damaged Product
RET000477,ORD011539,2025-11-11,Late Delivery
RET000478,ORD002009,2024-06-26,Damaged Product
RET000479,ORD003222,2024-01-10,Size Issue
RET000480,ORD044997,2024-06-29,Wrong Product
RET000481,ORD018763,2025-11-04,Damaged Product
RET000482,ORD014166,2025-07-15,Late Delivery
RET000483,ORD040684,2024-01-23,Size Issue
RET000484,ORD025081,2025-04-19,Poor Quality
RET000485,ORD001823,2025-07-23,Size Issue
RET000486,ORD044662,2025-04-24,Size Issue
RET000487,ORD006849,2024-12-14,Changed Mind
RET000488,ORD012636,2023-04-30,Changed Mind
RET000489,ORD037669,2024-04-09,Wrong Product
RET000490,ORD006096,2025-07-24,Changed Mind
RET000491,ORD039249,2024-04-14,Size Issue
RET000492,ORD010578,2025-02-28,Damaged Product
RET000493,ORD031075,2023-12-21,Late Delivery
RET000494,ORD029113,2023-01-25,Wrong Product
RET000495,ORD010193,2024-03-07,Damaged Product
RET000496,ORD000315,2025-05-10,Damaged Product
RET000497,ORD011450,2023-09-24,Damaged Product
RET000498,ORD030746,2024-03-13,Late Delivery
RET000499,ORD029703,2025-09-24,Damaged Product
RET000500,ORD027659,2025-03-29,Damaged Product
RET000501,ORD023686,2025-06-14,Wrong Product
RET000502,ORD028376,2024-09-24,Poor Quality
RET000503,ORD003086,2025-07-08,Late Delivery
RET000504,ORD049372,2025-12-16,Damaged Product
RET000505,ORD003752,2024-12-06,Late Delivery
RET000506,ORD005049,2025-05-05,Damaged Product
RET000507,ORD029187,2025-11-10,Changed Mind
RET000508,ORD030709,2024-12-15,Damaged Product
RET000509,ORD020147,2024-03-01,Size Issue
RET000510,ORD032250,2023-06-09,Wrong Product
RET000511,ORD004970,2025-09-06,Poor Quality
RET000512,ORD030526,2024-06-12,Poor Quality
RET000513,ORD018495,2024-08-19,Wrong Product
RET000514,ORD038065,2023-03-28,Poor Quality
RET000515,ORD041837,2025-07-03,Changed Mind
RET000516,ORD032753,2024-06-15,Late Delivery
RET000517,ORD020074,2024-03-04,Size Issue
RET000518,ORD026274,2025-12-29,Late Delivery
RET000519,ORD013650,2023-05-25,Poor Quality
RET000520,ORD025534,2025-09-04,Changed Mind
RET000521,ORD017522,2025-01-22,Poor Quality
RET000522,ORD025481,2023-03-02,Damaged Product
RET000523,ORD048235,2024-07-17,Wrong Product
RET000524,ORD048788,2024-08-31,Poor Quality
RET000525,ORD032390,2024-01-14,Wrong Product
RET000526,ORD005087,2024-06-14,Damaged Product
RET000527,ORD017253,2023-04-10,Poor Quality
RET000528,ORD004040,2024-03-31,Late Delivery
RET000529,ORD018387,2024-11-11,Size Issue
RET000530,ORD004247,2023-04-02,Changed Mind
RET000531,ORD018628,2023-05-30,Damaged Product
RET000532,ORD000880,2025-07-03,Size Issue
RET000533,ORD023299,2025-03-01,Wrong Product
RET000534,ORD029753,2024-09-10,Size Issue
RET000535,ORD030173,2023-09-20,Late Delivery
RET000536,ORD028560,2024-07-01,Damaged Product
RET000537,ORD018864,2023-05-30,Poor Quality
RET000538,ORD043344,2025-06-12,Wrong Product
RET000539,ORD034211,2025-06-30,Late Delivery
RET000540,ORD026084,2023-04-25,Poor Quality
RET000541,ORD001942,2024-10-06,Size Issue
RET000542,ORD022226,2025-03-05,Wrong Product
RET000543,ORD044692,2023-01-17,Size Issue
RET000544,ORD043240,2023-04-09,Wrong Product
RET000545,ORD023860,2025-09-22,Poor Quality
RET000546,ORD014159,2023-07-21,Changed Mind
RET000547,ORD033876,2023-03-17,Poor Quality
RET000548,ORD048105,2023-10-11,Late Delivery
RET000549,ORD023450,2025-01-18,Size Issue
RET000550,ORD006624,2024-05-03,Wrong Product
RET000551,ORD038265,2024-12-05,Size Issue
RET000552,ORD026242,2024-06-25,Wrong Product
RET000553,ORD047592,2024-10-20,Changed Mind
RET000554,ORD024156,2024-08-22,Size Issue
RET000555,ORD032059,2023-09-17,Damaged Product
RET000556,ORD009332,2025-02-28,Changed Mind
RET000557,ORD043565,2025-01-07,Wrong Product
RET000558,ORD003494,2024-03-26,Late Delivery
RET000559,ORD004879,2023-07-30,Late Delivery
RET000560,ORD047063,2023-04-12,Poor Quality
RET000561,ORD000999,2024-11-09,Poor Quality
RET000562,ORD037087,2023-09-22,Wrong Product
