product_id,product_name,category,revenue,profit,units_sold,orders,average_rating,review_count
PROD0032,Men Clothing Product 32,Fashion,25356788.58,7676477.92,719,251,3.9855072463768115,69
PROD0033,Kitchen Appliances Product 33,Home & Kitchen,9122405.75,1834551.53,766,256,3.706896551724138,58
PROD0034,Non Fiction Product 34,Books,4591980.76,408563.84,743,250,3.8,60
PROD0035,Cameras Product 35,Electronics,2408548.95,23258.999999999996,705,231,3.7936507936507935,63
PROD0036,Fiction Product 36,Books,26515917.52,9967406.88,808,250,4.1875,64
PROD0037,Fragrances Product 37,Beauty,343572.82,26552.14,711,232,4.033333333333333,60
PROD0038,Skincare Product 38,Beauty,22283499.3,2892113.88,738,257,4.046875,64
PROD0039,Haircare Product 39,Beauty,24744658.36,10792577.38,753,238,3.7714285714285714,70
PROD0040,Storage Product 40,Home & Kitchen,11851142.47,4891558.93,774,268,3.8620689655172415,58
PROD0041,Team Sports Product 41,Sports,26145388.16,4697736.56,710,236,3.966666666666667,60
PROD0042,Team Sports Product 42,Sports,9616847.78,4242997.28,675,219,3.9466666666666668,75
PROD0043,Self Help Product 43,Books,9548499.59,2922340.34,725,247,4.083333333333333,60
PROD0044,Fragrances Product 44,Beauty,23878270.0,3875589.6,776,260,3.9411764705882355,51
PROD0045,Men Clothing Product 45,Fashion,26407606.55,6468417.55,703,245,3.8225806451612905,62
PROD0046,Sportswear Product 46,Sports,4279146.47,592509.23,803,264,3.7966101694915255,59
PROD0047,Footwear Product 47,Fashion,22415377.54,4498086.44,697,225,3.9508196721311477,61
PROD0048,Personal Care Product 48,Beauty,23140506.83,5736845.87,696,220,4.145833333333333,48
PROD0049,Non Fiction Product 49,Books,16650105.59,4426275.79,749,259,4.0144927536231885,69
PROD0050,Footwear Product 50,Fashion,989478.33,416647.62,743,247,3.803030303030303,66
PROD0051,Fragrances Product 51,Beauty,1129619.15,195532.11000000002,712,241,4.061538461538461,65
PROD0052,Technology Product 52,Books,9285623.93,2085460.81,692,224,4.102941176470588,68
PROD0053,Fragrances Product 53,Beauty,27393015.990000002,9546279.94,715,237,4.029411764705882,68
PROD0054,Smart Watches Product 54,Electronics,13248356.73,1525667.79,753,254,3.9523809523809526,63
PROD0055,Smart Watches Product 55,Electronics,7772715.73,3350893.13,788,257,3.76,50
PROD0056,Jewellery Product 56,Accessories,9386364.99,3781944.87,741,244,3.9324324324324325,74
PROD0057,Headphones Product 57,Electronics,33740081.2,3173520.2,850,277,3.95,60
PROD0058,Team Sports Product 58,Sports,19829872.54,1176204.64,735,263,4.155172413793103,58
PROD0059,Storage Product 59,Home & Kitchen,27510577.88,10662930.56,798,264,3.9411764705882355,68
PROD0060,Sportswear Product 60,Sports,25993564.56,5597460.58,686,235,3.9285714285714284,56
PROD0061,Storage Product 61,Home & Kitchen,24734939.39,1463283.47,712,240,4.082191780821918,73
PROD0062,Outdoor Product 62,Sports,10989089.77,4544656.87,810,262,4.056603773584905,53
PROD0063,Non Fiction Product 63,Books,7665195.47,2055721.67,777,258,3.814814814814815,54
PROD0064,Footwear Product 64,Fashion,23833135.09,1712395.09,680,238,3.814814814814815,54
PROD0065,Accessories Product 65,Fashion,438456.5,100990.86,799,257,3.9027777777777777,72
PROD0066,Fitness Equipment Product 66,Sports,13201945.81,4889630.52,733,250,4.265625,64
PROD0067,Cameras Product 67,Electronics,4033837.54,1247961.13,761,247,3.903225806451613,62
PROD0068,Footwear Product 68,Fashion,32142262.080000002,10449856.54,794,258,3.7777777777777777,54
PROD0069,Bags Product 69,Accessories,15632857.82,2033994.2,713,239,3.6842105263157894,57
PROD0070,Ethnic Wear Product 70,Fashion,12027668.82,131797.3,772,252,4.155172413793103,58
PROD0071,Footwear Product 71,Fashion,33066841.12,11462975.97,815,259,3.9672131147540983,61
PROD0072,Home Decor Product 72,Home & Kitchen,17032022.27,5547618.57,805,255,3.984126984126984,63
PROD0073,Footwear Product 73,Fashion,9594247.19,4333458.11,783,255,3.8208955223880596,67
PROD0074,Skincare Product 74,Beauty,21257649.12,5003124.96,816,279,3.986666666666667,75
PROD0075,Headphones Product 75,Electronics,1800762.88,617936.84,737,246,4.046153846153846,65
PROD0076,Cookware Product 76,Home & Kitchen,30643464.71,11173329.51,785,253,3.943396226415094,53
PROD0077,Women Clothing Product 77,Fashion,4205892.71,999045.55,662,235,4.038461538461538,52
PROD0078,Cameras Product 78,Electronics,30779132.56,11023954.27,733,242,3.857142857142857,42
PROD0079,Cameras Product 79,Electronics,22015523.4,2531922.74,766,265,4.117647058823529,51
PROD0080,Kitchen Appliances Product 80,Home & Kitchen,7001253.19,923539.85,677,243,4.0,57
PROD0081,Skincare Product 81,Beauty,11332522.82,1877466.54,724,240,4.104166666666667,48
PROD0082,Travel Accessories Product 82,Accessories,20044840.669999998,4630131.47,730,244,3.876923076923077,65
PROD0083,Smart Watches Product 83,Electronics,3120092.19,285897.69,755,245,3.817073170731707,82
PROD0084,Bags Product 84,Accessories,10612701.03,4085553.75,766,246,3.8392857142857144,56
PROD0085,Fragrances Product 85,Beauty,1468499.42,285255.8,741,249,3.8596491228070176,57
PROD0086,Fragrances Product 86,Beauty,20281685.94,9452802.26,698,237,3.8095238095238093,42
PROD0087,Technology Product 87,Books,16258164.02,5817444.0200000005,750,245,3.7254901960784315,51
PROD0088,Men Clothing Product 88,Fashion,20516230.6,7916822.24,749,267,4.016393442622951,61
PROD0089,Men Clothing Product 89,Fashion,21556922.15,6203232.94,733,243,3.9692307692307693,65
PROD0090,Jewellery Product 90,Accessories,29883019.54,12420160.96,738,249,3.783333333333333,60
PROD0091,Sunglasses Product 91,Accessories,10782565.040000001,4424370.8,744,238,3.967741935483871,62
PROD0092,Furniture Product 92,Home & Kitchen,28869624.76,1638536.26,735,244,3.7755102040816326,49
PROD0093,Sportswear Product 93,Sports,9446971.21,1531535.11,845,285,3.806451612903226,62
PROD0094,Ethnic Wear Product 94,Fashion,26258622.78,5442031.18,757,259,3.694915254237288,59
PROD0095,Furniture Product 95,Home & Kitchen,17739590.77,6356618.91,782,265,3.985074626865672,67
PROD0096,Home Decor Product 96,Home & Kitchen,2773329.42,126924.22,664,241,4.032786885245901,61
PROD0097,Laptops Product 97,Electronics,27741819.8,4645977.14,729,240,3.8666666666666667,60
PROD0098,Furniture Product 98,Home & Kitchen,10576269.28,3254493.48,724,245,4.033333333333333,60
PROD0099,Women Clothing Product 99,Fashion,21793075.2,1136198.7,702,230,3.838235294117647,68
PROD0100,Bags Product 100,Accessories,30036163.31,3080348.11,797,244,4.015873015873016,63
PROD0101,Smartphones Product 101,Electronics,19919959.59,8470085.49,735,244,3.8333333333333335,66
PROD0102,Footwear Product 102,Fashion,5809816.1,332981.66,812,265,3.641509433962264,53
PROD0103,Storage Product 103,Home & Kitchen,17681708.41,8111537.8,693,241,3.877551020408163,49
PROD0104,Makeup Product 104,Beauty,3685217.08,554597.77,819,274,3.9411764705882355,68
PROD0105,Travel Accessories Product 105,Accessories,376378.99,147449.23,807,257,4.157894736842105,57
PROD0106,Headphones Product 106,Electronics,18872530.580000002,2621534.16,811,265,4.112903225806452,62
PROD0107,Team Sports Product 107,Sports,21051888.09,7726304.19,755,242,4.0,57
PROD0108,Technology Product 108,Books,20887824.54,7428175.42,692,232,4.068181818181818,44
PROD0109,Cookware Product 109,Home & Kitchen,9842070.39,1160940.79,704,233,3.918032786885246,61
PROD0110,Jewellery Product 110,Accessories,22028975.54,1699573.74,790,257,3.8461538461538463,65
PROD0111,Skincare Product 111,Beauty,20073672.91,3966244.51,721,252,3.909090909090909,55
PROD0112,Men Clothing Product 112,Fashion,3376277.53,1023920.23,795,261,3.8518518518518516,54
PROD0113,Self Help Product 113,Books,8208582.59,2878850.79,722,241,3.925373134328358,67
PROD0114,Headphones Product 114,Electronics,30251550.68,8681934.08,730,242,3.912280701754386,57
PROD0115,Personal Care Product 115,Beauty,28367143.54,4883072.44,749,250,3.9714285714285715,70
PROD0116,Non Fiction Product 116,Books,23668330.740000002,5528978.74,700,229,3.7777777777777777,72
PROD0117,Cookware Product 117,Home & Kitchen,19209674.48,4719658.07,773,254,3.810344827586207,58
PROD0118,Women Clothing Product 118,Fashion,6137296.39,733415.44,731,244,4.054794520547945,73
PROD0119,Smartphones Product 119,Electronics,8704015.53,3985769.13,720,247,4.016393442622951,61
PROD0120,Furniture Product 120,Home & Kitchen,21232841.6,8280583.04,768,254,4.0,71
PROD0121,Home Decor Product 121,Home & Kitchen,28878811.36,635774.2,722,247,3.938775510204082,49
PROD0122,Storage Product 122,Home & Kitchen,28311639.55,8411744.81,727,238,3.925925925925926,54
PROD0123,Wallets Product 123,Accessories,670481.42,27398.53,733,232,3.9692307692307693,65
PROD0124,Jewellery Product 124,Accessories,14722603.41,350194.57,796,265,4.0,56
PROD0125,Jewellery Product 125,Accessories,33399885.23,2095467.21,821,275,4.160714285714286,56
PROD0126,Team Sports Product 126,Sports,9126085.22,2595033.26,724,248,3.8222222222222224,45
PROD0127,Sportswear Product 127,Sports,26785260.82,8627136.63,739,238,3.9193548387096775,62
PROD0128,Personal Care Product 128,Beauty,5217349.79,1074068.77,706,243,4.2,60
PROD0129,Haircare Product 129,Beauty,32111539.84,4312492.94,815,272,4.0,45
PROD0130,Makeup Product 130,Beauty,15401174.39,6498853.43,636,219,4.193548387096774,62
PROD0131,Academic Product 131,Books,22405836.43,209633.43,850,282,4.0,64
PROD0132,Academic Product 132,Books,4312790.88,1004644.5,693,235,4.0625,64
PROD0133,Team Sports Product 133,Sports,26062708.21,3355204.93,693,232,3.7580645161290325,62
PROD0134,Smartphones Product 134,Electronics,23036700.18,3445871.13,767,243,4.033333333333333,60
PROD0135,Self Help Product 135,Books,12565004.98,4225460.84,809,269,3.9206349206349205,63
PROD0136,Women Clothing Product 136,Fashion,27148675.55,2430392.11,788,261,3.8679245283018866,53
PROD0137,Jewellery Product 137,Accessories,27119195.43,1151339.73,734,243,3.8857142857142857,70
PROD0138,Jewellery Product 138,Accessories,16758917.05,3893923.86,769,257,3.9833333333333334,60
PROD0139,Wallets Product 139,Accessories,24702318.35,3955178.69,731,252,4.096774193548387,62
PROD0140,Sportswear Product 140,Sports,25102589.09,2365859.7399999998,841,275,4.0,61
PROD0141,Fiction Product 141,Books,24209176.24,7530277.04,640,221,3.78125,64
PROD0142,Skincare Product 142,Beauty,12599236.33,5395114.44,779,258,3.8974358974358974,39
PROD0143,Furniture Product 143,Home & Kitchen,18020804.37,8149235.37,732,247,3.9705882352941178,68
PROD0144,Travel Accessories Product 144,Accessories,14232667.18,3052941.48,715,251,3.769230769230769,52
PROD0145,Furniture Product 145,Home & Kitchen,9331023.79,1816053.67,753,255,4.063492063492063,63
PROD0146,Team Sports Product 146,Sports,1157138.58,523099.32,751,263,4.140625,64
PROD0147,Wallets Product 147,Accessories,26956084.39,8337466.0,761,249,4.074074074074074,54
PROD0148,Bags Product 148,Accessories,4353272.19,1005905.79,768,253,3.761904761904762,63
PROD0149,Cameras Product 149,Electronics,27042815.69,9873867.29,830,275,3.8947368421052633,38
PROD0150,Wallets Product 150,Accessories,19509780.94,8447521.39,731,228,3.8378378378378377,74
PROD0151,Storage Product 151,Home & Kitchen,1830699.04,418590.39,743,241,3.723404255319149,47
PROD0152,Furniture Product 152,Home & Kitchen,16934249.53,2760444.93,740,240,3.909090909090909,66
PROD0153,Academic Product 153,Books,25540580.56,-22008.800000000014,836,266,3.819672131147541,61
PROD0154,Smart Watches Product 154,Electronics,16197044.32,5100727.24,738,249,4.125,56
PROD0155,Yoga Product 155,Sports,24224953.26,8394893.5,712,236,4.05,60
PROD0156,Sportswear Product 156,Sports,15486902.86,6660805.14,829,281,3.816666666666667,60
PROD0157,Cameras Product 157,Electronics,1074838.55,32734.55,800,267,4.048387096774194,62
PROD0158,Sportswear Product 158,Sports,28893678.1,4172938.3,811,266,4.285714285714286,63
PROD0159,Yoga Product 159,Sports,13125930.82,4953506.49,763,251,3.793103448275862,58
PROD0160,Men Clothing Product 160,Fashion,5040849.47,1811522.74,727,247,4.029850746268656,67
PROD0161,Laptops Product 161,Electronics,20275475.96,2872702.62,857,284,3.8484848484848486,66
PROD0162,Laptops Product 162,Electronics,23506405.1,7931542.58,837,275,3.8732394366197185,71
PROD0163,Sportswear Product 163,Sports,33244463.51,3956856.31,823,265,4.016949152542373,59
PROD0164,Technology Product 164,Books,17551116.7,3175522.98,743,242,3.962962962962963,54
PROD0165,Team Sports Product 165,Sports,13439424.09,4785824.44,745,258,4.0,54
PROD0166,Accessories Product 166,Fashion,11234104.88,1315248.68,732,249,4.2727272727272725,55
PROD0167,Travel Accessories Product 167,Accessories,727596.9,304194.9,840,270,3.9384615384615387,65
PROD0168,Bags Product 168,Accessories,1843716.93,835517.65,836,276,4.037037037037037,54
PROD0169,Headphones Product 169,Electronics,26816761.35,3609671.34,741,258,3.7941176470588234,68
PROD0170,Headphones Product 170,Electronics,13955423.51,5947141.83,686,218,3.9107142857142856,56
PROD0171,Outdoor Product 171,Sports,17007860.61,4198358.61,810,273,3.9558823529411766,68
PROD0172,Storage Product 172,Home & Kitchen,4934124.09,1290319.61,656,218,4.05,60
PROD0173,Skincare Product 173,Beauty,13426981.93,2506669.93,780,251,3.6545454545454548,55
PROD0174,Personal Care Product 174,Beauty,21115097.65,9495299.95,779,261,4.317460317460317,63
PROD0175,Bags Product 175,Accessories,12355887.43,2100944.71,774,262,4.126984126984127,63
PROD0176,Self Help Product 176,Books,15422156.42,1020993.48,718,225,4.016949152542373,59
PROD0177,Fitness Equipment Product 177,Sports,25444490.5,9990484.86,908,280,4.090909090909091,66
PROD0178,Men Clothing Product 178,Fashion,2413695.02,411129.74,744,247,3.9384615384615387,65
PROD0179,Kitchen Appliances Product 179,Home & Kitchen,1056396.45,220649.2,755,257,4.134328358208955,67
PROD0180,Headphones Product 180,Electronics,27001482.65,5376959.21,676,229,3.629032258064516,62
PROD0181,Academic Product 181,Books,12571630.76,2025875.4,761,249,4.0,65
PROD0182,Jewellery Product 182,Accessories,14978785.07,3059194.64,773,274,3.7358490566037736,53
PROD0183,Fitness Equipment Product 183,Sports,30490351.24,8801080.42,762,254,3.6363636363636362,66
PROD0184,Laptops Product 184,Electronics,28610037.42,1554950.13,693,232,4.09433962264151,53
PROD0185,Headphones Product 185,Electronics,6204463.41,2758893.18,719,244,3.711864406779661,59
PROD0186,Women Clothing Product 186,Fashion,3245667.91,1514796.24,713,234,4.092307692307692,65
PROD0187,Skincare Product 187,Beauty,3537072.71,496156.03,842,271,3.96875,64
PROD0188,Storage Product 188,Home & Kitchen,2180681.94,684314.94,675,222,3.9310344827586206,58
PROD0189,Furniture Product 189,Home & Kitchen,27101738.74,12397536.07,757,247,4.020833333333333,48
PROD0190,Men Clothing Product 190,Fashion,27370918.46,9173075.16,793,264,3.875,64
PROD0191,Fiction Product 191,Books,3812994.09,538391.85,728,244,3.9310344827586206,58
PROD0192,Headphones Product 192,Electronics,21257463.04,1262588.77,791,269,3.9672131147540983,61
PROD0193,Cookware Product 193,Home & Kitchen,25315341.6,2158974.8,815,265,3.9705882352941178,68
PROD0194,Cookware Product 194,Home & Kitchen,9083926.39,3519609.37,746,245,3.8983050847457625,59
PROD0195,Technology Product 195,Books,22961948.89,2446238.41,706,241,3.826923076923077,52
PROD0196,Accessories Product 196,Fashion,33824727.41,8876251.13,819,258,3.9583333333333335,48
PROD0197,Smart Watches Product 197,Electronics,11819972.84,1302172.2,736,238,4.186440677966102,59
PROD0198,Fitness Equipment Product 198,Sports,10249161.86,298445.24,702,239,3.739130434782609,69
PROD0199,Yoga Product 199,Sports,31971857.45,8844660.63,866,272,3.891304347826087,46
PROD0200,Travel Accessories Product 200,Accessories,23412871.39,2653824.67,734,239,3.890625,64
PROD0201,Bags Product 201,Accessories,3113231.19,174031.19,668,235,4.084507042253521,71
PROD0202,Fitness Equipment Product 202,Sports,16736219.13,1304254.59,778,256,4.0,51
PROD0203,Ethnic Wear Product 203,Fashion,10566942.61,402723.89,776,252,3.96,50
PROD0204,Kitchen Appliances Product 204,Home & Kitchen,10810701.1,5036452.55,647,221,3.9193548387096775,62
PROD0205,Fragrances Product 205,Beauty,28425074.68,12183149.75,737,247,3.9565217391304346,69
PROD0206,Cookware Product 206,Home & Kitchen,9990728.25,166256.13,732,234,3.784313725490196,51
PROD0207,Men Clothing Product 207,Fashion,28940275.65,5845053.5,715,248,3.9705882352941178,68
PROD0208,Sunglasses Product 208,Accessories,19758147.65,5072931.01,736,250,3.9838709677419355,62
PROD0209,Outdoor Product 209,Sports,9340426.42,2984219.92,735,256,4.1,50
PROD0210,Sportswear Product 210,Sports,18991429.08,2099547.36,667,229,4.0476190476190474,63
PROD0211,Jewellery Product 211,Accessories,25250829.88,2602777.16,746,241,4.081632653061225,49
PROD0212,Cameras Product 212,Electronics,3051469.93,712896.79,747,250,4.0,38
PROD0213,Smartphones Product 213,Electronics,2005824.55,426505.25,746,250,4.150943396226415,53
PROD0214,Personal Care Product 214,Beauty,16166545.26,693782.7000000001,864,282,3.730769230769231,52
PROD0215,Smartphones Product 215,Electronics,10313250.64,4302136.74,682,222,4.054794520547945,73
PROD0216,Bags Product 216,Accessories,4726949.5,557465.98,746,251,3.710144927536232,69
PROD0217,Furniture Product 217,Home & Kitchen,21998277.84,9383882.24,829,270,4.051724137931035,58
PROD0218,Self Help Product 218,Books,3366892.19,451344.17,891,284,3.9206349206349205,63
PROD0219,Cameras Product 219,Electronics,2325158.34,165892.86,708,246,4.105263157894737,57
PROD0220,Makeup Product 220,Beauty,24636797.04,10714958.89,815,277,3.981818181818182,55
PROD0221,Accessories Product 221,Fashion,2549750.56,12888.609999999999,665,224,3.8653846153846154,52
PROD0222,Home Decor Product 222,Home & Kitchen,10179840.56,2954149.97,639,215,3.918032786885246,61
PROD0223,Non Fiction Product 223,Books,28144636.49,922097.42,807,269,3.9491525423728815,59
PROD0224,Academic Product 224,Books,33248320.89,3834741.75,794,261,3.816326530612245,49
PROD0225,Yoga Product 225,Sports,11425330.0,4996075.0,700,247,4.103448275862069,58
PROD0226,Women Clothing Product 226,Fashion,24878791.63,5116398.85,754,252,3.857142857142857,63
PROD0227,Smartphones Product 227,Electronics,13936911.3,644845.05,765,254,4.0,67
PROD0228,Travel Accessories Product 228,Accessories,4067253.53,979590.77,819,268,4.035714285714286,56
PROD0229,Skincare Product 229,Beauty,554115.92,139250.57,753,256,4.02,50
PROD0230,Headphones Product 230,Electronics,2209159.5,914324.7,840,277,3.8620689655172415,58
PROD0231,Footwear Product 231,Fashion,4032950.42,698919.77,765,255,4.186440677966102,59
PROD0232,Men Clothing Product 232,Fashion,24270562.08,4526240.5,773,254,3.9672131147540983,61
PROD0233,Furniture Product 233,Home & Kitchen,28325344.97,8174433.97,698,237,3.8095238095238093,42
PROD0234,Footwear Product 234,Fashion,9506997.84,488021.64,780,260,3.8666666666666667,60
PROD0235,Haircare Product 235,Beauty,7851716.24,215855.33,801,266,3.8867924528301887,53
PROD0236,Cookware Product 236,Home & Kitchen,534754.36,11266.58,691,243,3.810344827586207,58
PROD0237,Team Sports Product 237,Sports,1742196.0,97689.78,834,269,3.7761194029850746,67
PROD0238,Technology Product 238,Books,15467482.65,-83895.63,692,231,4.183333333333334,60
PROD0239,Headphones Product 239,Electronics,2416640.57,500886.64,719,237,4.054545454545455,55
PROD0240,Yoga Product 240,Sports,33025083.11,7364270.57,803,264,3.875,48
PROD0241,Headphones Product 241,Electronics,18274409.35,2818066.63,672,231,4.019230769230769,52
PROD0242,Makeup Product 242,Beauty,15998761.0,2840294.8,820,276,3.7868852459016393,61
PROD0243,Outdoor Product 243,Sports,19631381.61,964607.56,785,262,3.8666666666666667,60
PROD0244,Home Decor Product 244,Home & Kitchen,1484449.54,510266.85000000003,677,241,3.7096774193548385,62
PROD0245,Smart Watches Product 245,Electronics,32534212.61,1534473.3,809,264,3.7358490566037736,53
PROD0246,Sportswear Product 246,Sports,14867033.47,2789747.9899999998,754,246,4.339285714285714,56
PROD0247,Footwear Product 247,Fashion,9295386.56,3524501.96,780,261,4.018518518518518,54
PROD0248,Headphones Product 248,Electronics,14298841.78,4414225.5,716,241,3.9622641509433962,53
PROD0249,Jewellery Product 249,Accessories,17084050.26,7327016.34,692,232,3.925925925925926,54
PROD0250,Sunglasses Product 250,Accessories,29978083.36,62367.78,727,236,3.933333333333333,60
PROD0251,Smartphones Product 251,Electronics,22540524.0,5076432.05,751,255,4.24,50
PROD0252,Technology Product 252,Books,10175467.84,907376.14,762,256,3.878787878787879,66
PROD0253,Footwear Product 253,Fashion,20133497.09,7897456.21,692,238,3.716666666666667,60
PROD0254,Accessories Product 254,Fashion,28425297.16,2544258.97,729,250,4.15625,64
PROD0255,Smartphones Product 255,Electronics,30248371.94,4259648.56,739,238,3.811320754716981,53
PROD0256,Accessories Product 256,Fashion,21986350.54,6003507.17,841,278,3.8125,64
PROD0257,Technology Product 257,Books,26266271.81,1704490.09,661,230,3.717391304347826,46
PROD0258,Smart Watches Product 258,Electronics,1646186.96,752223.8,762,258,3.75,52
PROD0259,Jewellery Product 259,Accessories,12090126.12,1228146.18,738,246,4.014925373134329,67
PROD0260,Fragrances Product 260,Beauty,31277843.02,12766338.82,735,245,3.75,48
PROD0261,Fiction Product 261,Books,17718010.13,5140921.13,700,231,4.070422535211268,71
PROD0262,Outdoor Product 262,Sports,32329870.96,2407852.4,784,261,3.876923076923077,65
PROD0263,Men Clothing Product 263,Fashion,27697699.64,6831373.64,780,258,3.9649122807017543,57
PROD0264,Outdoor Product 264,Sports,14688214.78,5012372.67,827,280,4.116279069767442,43
PROD0265,Technology Product 265,Books,2065714.76,135160.08,782,270,3.6842105263157894,57
PROD0266,Jewellery Product 266,Accessories,28360989.21,-349881.09,830,257,4.112676056338028,71
PROD0267,Fitness Equipment Product 267,Sports,33555946.14,7395351.46,781,262,3.6666666666666665,48
PROD0268,Furniture Product 268,Home & Kitchen,24628452.55,647285.35,752,253,4.017543859649122,57
PROD0269,Outdoor Product 269,Sports,26704705.78,9499440.78,737,249,3.8636363636363638,66
PROD0270,Accessories Product 270,Fashion,14582585.69,5999223.11,754,249,4.109090909090909,55
PROD0271,Smartphones Product 271,Electronics,33171922.52,6242586.57,815,263,3.9523809523809526,63
PROD0272,Travel Accessories Product 272,Accessories,7532903.6,1112015.84,766,255,4.2,65
PROD0273,Technology Product 273,Books,19998598.98,5993413.72,761,258,3.824561403508772,57
PROD0274,Sportswear Product 274,Sports,3571992.09,556383.6900000001,706,251,3.9672131147540983,61
PROD0275,Cookware Product 275,Home & Kitchen,16592576.09,1941062.09,738,245,3.789473684210526,57
PROD0276,Sunglasses Product 276,Accessories,16106573.8,987300.8,731,243,4.25,56
PROD0277,Personal Care Product 277,Beauty,16585175.35,3307983.65,710,233,3.789473684210526,57
PROD0278,Wallets Product 278,Accessories,25510657.69,7406064.19,675,218,3.901639344262295,61
PROD0279,Team Sports Product 279,Sports,4462693.44,2046976.16,752,251,4.0285714285714285,70
PROD0280,Laptops Product 280,Electronics,23842937.48,4325762.73,739,242,3.9565217391304346,69
PROD0281,Skincare Product 281,Beauty,21972213.59,7957184.03,742,248,4.098039215686274,51
PROD0282,Ethnic Wear Product 282,Fashion,4158337.52,1958123.68,682,235,4.089285714285714,56
PROD0283,Haircare Product 283,Beauty,11938843.88,2382482.96,786,267,3.8275862068965516,58
PROD0284,Bags Product 284,Accessories,12070704.36,3274653.18,711,240,3.769230769230769,65
PROD0285,Men Clothing Product 285,Fashion,29220187.51,8853414.39,764,250,4.069444444444445,72
PROD0286,Cookware Product 286,Home & Kitchen,15872103.39,1527033.9,727,243,3.869565217391304,69
PROD0287,Travel Accessories Product 287,Accessories,11579334.0,2085277.6099999999,679,230,4.0,67
PROD0288,Personal Care Product 288,Beauty,26071778.65,751217.02,707,240,4.191489361702128,47
PROD0289,Academic Product 289,Books,4869274.93,142067.31,757,258,3.7966101694915255,59
PROD0290,Outdoor Product 290,Sports,16021018.23,5473057.73,770,259,3.933333333333333,60
PROD0291,Men Clothing Product 291,Fashion,13268254.03,89406.44999999998,677,250,4.016393442622951,61
PROD0292,Makeup Product 292,Beauty,15455745.06,5036302.86,723,233,4.049180327868853,61
PROD0293,Yoga Product 293,Sports,22748773.98,8102217.42,844,283,3.6779661016949152,59
PROD0294,Fitness Equipment Product 294,Sports,2430604.56,1026038.8,688,243,4.086206896551724,58
PROD0295,Wallets Product 295,Accessories,4064500.21,1607064.91,722,246,4.046875,64
PROD0296,Kitchen Appliances Product 296,Home & Kitchen,4538265.25,774987.85,740,253,3.9591836734693877,49
PROD0297,Technology Product 297,Books,6175984.97,1874120.33,783,262,4.090909090909091,55
PROD0298,Kitchen Appliances Product 298,Home & Kitchen,31135556.6,7631558.81,819,268,4.016949152542373,59
PROD0299,Kitchen Appliances Product 299,Home & Kitchen,18547940.58,7116855.32,658,223,4.046511627906977,43
